year,mon,value
1972,10,-0.1693
1972,11,-0.0658
1972,12,-0.3815
1973,01,-0.2076
1973,02,-0.4548
1973,03,-0.6540
1973,04,-0.7822
1973,05,-1.0398
1973,06,-1.1423
1973,07,-0.8997
1973,08,-0.9914
1973,09,-0.7094
1973,10,-0.9387
1973,11,-1.3362
1973,12,-1.1104
1974,01,-0.8229
1974,02,-1.1047
1974,03,-1.0596
1974,04,-0.4787
1974,05,-0.5586
1974,06,-0.5010
1974,07,-0.0203
1974,08, 0.0786
1974,09, 0.9961
1974,10, 0.6418
1974,11, 0.5659
1974,12, 0.2445
1975,01,-0.5176
1975,02,-0.8500
1975,03,-0.9339
1975,04,-1.5020
1975,05,-1.6851
1975,06,-1.3191
1975,07,-0.7455
1975,08,-1.1775
1975,09,-1.1397
1975,10,-1.1330
1975,11,-1.6465
1975,12,-1.5702
1976,01,-1.1106
1976,02,-0.8926
1976,03,-1.0801
1976,04,-1.1704
1976,05,-0.9551
1976,06,-1.3016
1976,07,-0.0598
1976,08, 0.9078
1976,09, 0.5105
1976,10, 1.0776
1976,11, 1.2561
1976,12, 1.1991
1977,01, 1.1571
1977,02, 1.4923
1977,03, 0.5894
1977,04, 0.0745
1977,05,-0.0241
1977,06, 0.3094
1977,07, 0.0913
1977,08, 0.4363
1977,09, 0.0261
1977,10,-0.3494
1977,11,-0.2390
1977,12, 0.0126
1978,01, 0.6496
1978,02, 0.9903
1978,03, 1.3242
1978,04, 1.1553
1978,05, 0.8973
1978,06, 0.2479
1978,07,-0.9947
1978,08,-0.4198
1978,09,-0.3464
1978,10, 0.3600
1978,11, 0.1812
1978,12,-0.4365
1979,01,-0.1725
1979,02,-0.8699
1979,03,-0.2864
1979,04,-0.0177
1979,05, 0.6433
1979,06, 0.2541
1979,07, 0.3498
1979,08, 0.6577
1979,09, 1.3858
1979,10, 1.3493
1979,11, 0.8142
1979,12, 0.2112
1980,01, 0.2501
1980,02, 0.8235
1980,03, 0.9329
1980,04, 0.9868
1980,05, 0.9095
1980,06,-0.3527
1980,07, 0.0179
1980,08, 0.2403
1980,09, 0.0830
1980,10, 0.9631
1980,11, 0.9449
1980,12, 0.6953
1981,01, 1.2446
1981,02, 1.3852
1981,03, 1.4470
1981,04, 1.3337
1981,05, 1.5111
1981,06, 2.1538
1981,07, 0.8758
1981,08, 0.5118
1981,09, 0.7160
1981,10, 0.1162
1981,11, 0.6241
1981,12, 0.6475
1982,01, 0.2576
1982,02, 0.0776
1982,03, 0.0688
1982,04,-0.3719
1982,05,-0.7182
1982,06,-0.7180
1982,07, 0.1596
1982,08, 0.2349
1982,09, 0.7428
1982,10, 0.3600
1982,11,-0.2102
1982,12, 0.2044
1983,01, 0.6598
1983,02, 1.2049
1983,03, 1.8112
1983,04, 1.6074
1983,05, 1.1599
1983,06, 1.7307
1983,07, 2.2812
1983,08, 1.4117
1983,09, 0.8532
1983,10, 1.0786
1983,11, 1.3397
1983,12, 1.4034
1984,01, 1.2960
1984,02, 1.2124
1984,03, 1.5581
1984,04, 1.2439
1984,05, 1.2377
1984,06, 0.4066
1984,07, 0.1948
1984,08, 0.5040
1984,09, 0.6846
1984,10, 0.6334
